,Success,Fail,Views,FailAvgDuration,SuccessAvgDuration,TotalAvgDuration,Start_Time,End_Time,AvgSessionDuration,Sessions,RatioFS,RatioFV,DTW_FV,DTW_SV,DTW_FS
5.0.302.272 (production#b9b00ea.160204-1247),44161,249,61879,13630.69921875,13581.8828125,13581.88671875,2016-02-04,2016-02-17,849.19580078125,5955,0.005638459146340456,0.004023982222983853,0.7119746681942084,0.6318017548314269,0.5541578243063939
5.0.302.281 (production#3f70817.160216-1451),49274,275,58291,22127.560546875,21776.78515625,21776.80078125,2016-02-16,2016-02-27,819.4290771484375,6434,0.005581036538924453,0.004717709342476379,0.45198172835192435,0.07536358516640253,0.4521820772382169
5.0.302.124 (production#b02af50.151003-0123),185906,1020,66399,18529.0234375,422.8839416503906,756.7564697265625,2015-10-03,2015-10-09,1526.29541015625,6294,0.0054866437582076774,0.015361676902337732,0.6060993427490865,0.19772420681371655,0.5624214192980018
5.0.302.249 (production#1208590.160113-1053),54259,296,57442,5313.51708984375,243.7963714599609,289.1709899902344,2016-01-13,2016-01-17,327.9526062011719,7736,0.005455316068204057,0.005153023830071658,0.5342211331260514,0.09634764190715876,0.5385638182941751
5.0.302.282 (production#1ef5c14.160217-1018),97504,518,111984,9065.6796875,3742.813720703125,3704.74267578125,2016-02-16,2016-02-26,773.5215454101562,12405,0.0053126025054089825,0.004625660767380512,0.562071985021677,0.07781623721607772,0.5360869011065152
5.0.302.254 (production#53f503c.160115-1558),151364,803,112492,10236.5703125,192.0596466064453,204.5701904296875,2016-01-16,2016-01-30,1213.214111328125,14338,0.005305092325089901,0.0071382853257272935,0.4743418704120523,0.11065565887999107,0.4906048064753611
5.0.302.158 (production#ec1fa13.151029-1434),172548,903,52316,39886.80078125,14471.0234375,14401.4384765625,2015-10-29,2016-01-02,1392.0577392578125,5396,0.0052333263484171,0.017260493591626014,0.8187703012245787,0.40760309795877053,0.6593963604866642
5.0.302.257 (production#8d3dd10.160122-1025),175995,884,126929,170561.265625,4168.3095703125,4157.69873046875,2016-01-22,2016-02-14,1856.968017578125,15705,0.005022869939356971,0.006964523418883601,0.526599912572414,0.10982938317557757,0.5490197108162371
5.0.302.125 (production#a1602a3.151005-1841),82454,414,40504,20262.263671875,9.37974452972412,115.29957580566406,2015-10-06,2015-10-14,1800.4903564453125,3543,0.00502098133479296,0.010221212467380692,0.3886115686950151,0.09137301101192855,0.42406415731532054
5.0.302.152 (production#79c81a3.151024-1554),8656,43,2659,6303.3720703125,64.31082916259766,100.1644515991211,2015-10-26,2015-10-31,1162.4202880859375,447,0.004967651921481987,0.016171486960704414,1.5,1.5,0.34181017419018145
5.0.302.271 (production#9590224.160203-1405),45787,227,51909,12681.0439453125,1.445667386054993,66.36534881591797,2016-02-04,2016-02-27,746.6095581054688,6184,0.004957738987971717,0.004373037346644371,0.3960477129153968,0.04692292993046748,0.39802212012402033
5.0.302.128 (production#b2bb94e.151008-1536),130678,647,48535,39252.2421875,34721.09765625,34598.05859375,2015-10-08,2015-10-21,1987.8612060546875,3959,0.0049511011421119,0.01333058590026608,0.34548391206423934,0.14888261916502352,0.40129607957208285
5.0.302.156 (production#8860db1.151027-1641),127862,605,66491,26659.0703125,27235.890625,27235.998046875,2015-10-27,2016-01-02,1892.608642578125,5338,0.004731663788055374,0.009098975664391036,0.555719846968052,0.16297716509974952,0.5603402602579874
5.0.302.141 (production#6d6584b.151017-1528),184070,865,72757,27075.587890625,187.0402984619141,314.55340576171875,2015-10-18,2015-10-26,1753.7650146484375,6299,0.004699299154129956,0.011888890252636994,0.5963168991371846,0.231585146679647,0.554317907834547
5.0.302.244 (production#ceacd37.151229-1825),154286,724,139370,20319.966796875,278.88455200195307,395.0743713378906,2016-01-01,2016-01-16,1278.9947509765625,16467,0.004692583872207564,0.0051948051575317145,0.5325742759674468,0.10198336670150136,0.5568255095828967
5.0.302.264 (production#096ed86.160127-1756),62277,286,39737,19438.373046875,9.81082820892334,109.8450927734375,2016-01-29,2016-02-18,1657.8209228515625,5080,0.0045923855581934655,0.007197322213621506,0.40881918003518,0.11018398038084544,0.40793421563610643
5.0.302.157 (production#fcbb249.151028-1541),62715,263,42411,10561.984375,4.599678993225098,47.71255111694336,2015-10-29,2016-01-02,1823.4805908203125,2651,0.004193574038211368,0.006201221235028148,0.3451156868356684,0.08968713786239271,0.36575509023441766
5.0.302.153 (production#7ba1d85.151026-1343),92268,385,46898,15821.4287109375,7.8263893127441415,78.39213562011719,2015-10-27,2016-01-02,1705.8837890625,4027,0.004172627517962592,0.008209305125819756,0.4570778255248709,0.10138480827170754,0.4883608182627497
5.0.302.255 (production#306a83c.160119-1042),81189,338,57732,35657.05078125,7458.267578125,7492.72412109375,2016-01-19,2016-02-06,1796.7420654296875,6657,0.004163125495287225,0.005854638573847458,0.5397469383214525,0.0881253850761948,0.536123141082568
5.0.302.122 (production#a411527.151001-1142),170051,698,42320,31176.298828125,4339.767578125,4423.96923828125,2015-10-01,2015-10-09,2976.9443359375,4295,0.004104650933516117,0.016493383353180922,0.37062200043922805,0.1784247251471799,0.480236734677537
5.0.302.131 (production#9b6108f.151009-1403),543174,2207,213740,33693.0390625,452.4697570800781,563.6317749023438,2015-10-10,2015-10-22,1965.2550048828125,17976,0.0040631547090561135,0.01032562922089628,0.5468113776984057,0.2405376869842799,0.5263013236553008
5.0.302.144 (production#76a2153.151020-1203),78218,314,45936,13778.2265625,1959.6552734375,1990.79833984375,2015-10-20,2015-10-26,1802.4080810546875,3284,0.004014421181640785,0.006835597204031757,0.5572096173624315,0.0903029348655114,0.5461771816758603
5.0.302.146 (production#1e011a0.151020-1712),105479,420,58853,42112.46484375,832.3836059570312,1141.94287109375,2015-10-21,2015-10-26,1680.8668212890625,4322,0.003981835209076355,0.007136424529991258,0.5558507986807829,0.15391109426131214,0.5858287881393882
5.0.302.245 (production#8855c5d.160105-1517),68130,235,56040,19797.310546875,441.32318115234375,607.2529296875,2016-01-06,2016-01-23,1088.533447265625,6553,0.003449288075014118,0.00419343318712646,0.5390228024788394,0.13125371089604793,0.5337737644935459
5.0.302.139 (production#4250ddf.151016-1235),76068,252,15230,11413.146484375,10831.46484375,10831.466796875,2015-10-16,2015-10-22,1516.0048828125,1631,0.0033128253232262536,0.016546289130250226,0.6141476994586935,0.10015876030333179,0.636622208551957
5.0.302.123 (production#3eb74b4.151002-1159),44921,148,6446,48617.79296875,27.57093620300293,189.36346435546875,2015-10-03,2015-10-07,1430.3046875,935,0.003294672796806109,0.02295997161651076,0.5172831079658311,0.13022499943870133,0.526025393026253
5.0.302.136 (production#f1550bd.151014-2218),25905,84,13139,12214.5361328125,15.951446533203125,65.51858520507811,2015-10-15,2015-10-21,1571.3858642578125,1169,0.003242617130182701,0.006393180120771739,0.9862820246710914,0.17844773799046676,0.9325177276819584
5.0.302.253 (production#c7420eb.160115-1325),6712,21,4201,2270.666748046875,104.17206573486328,118.61690521240234,2016-01-15,2016-01-23,3037.94189453125,666,0.003128724206089957,0.004998808617279547,0.5707966787946451,0.257491993389802,0.7423231274638122
